symbol,timeframe,total_candles,upper_wick_count,neutral_wick_count,upper_wick_percentage,neutral_wick_percentage
STEEM_USDT:USDT_1m,2h,265,228,37,86.04,13.96
STEEM_USDT:USDT_1m,4h,159,129,30,81.13,18.87
STG_USDT:USDT_1m,1m,145061,64707,80354,44.61,55.39
STG_USDT:USDT_1m,3m,48601,31951,16650,65.74,34.26
STG_USDT:USDT_1m,5m,29309,21496,7813,73.34,26.66
STG_USDT:USDT_1m,15m,10017,8393,1624,83.79,16.21
STG_USDT:USDT_1m,30m,5194,4519,675,87.0,13.0
STG_USDT:USDT_1m,1h,2968,2576,392,86.79,13.21
STG_USDT:USDT_1m,2h,1855,1552,303,83.67,16.33
STG_USDT:USDT_1m,4h,1113,875,238,78.62,21.38
STX_USDT:USDT_1m,1m,144880,84410,60470,58.26,41.74
STX_USDT:USDT_1m,3m,48541,37096,11445,76.42,23.58
STX_USDT:USDT_1m,5m,29273,24110,5163,82.36,17.64
STX_USDT:USDT_1m,15m,10005,8932,1073,89.28,10.72
STX_USDT:USDT_1m,30m,5188,4743,445,91.42,8.58
STX_USDT:USDT_1m,1h,2965,2709,256,91.37,8.63
STX_USDT:USDT_1m,2h,1853,1655,198,89.31,10.69
STX_USDT:USDT_1m,4h,1112,954,158,85.79,14.21
SUI_USDT:USDT_1m,1m,145061,94527,50534,65.16,34.84
SUI_USDT:USDT_1m,3m,48601,39115,9486,80.48,19.52
SUI_USDT:USDT_1m,5m,29309,24991,4318,85.27,14.73
SUI_USDT:USDT_1m,15m,10017,9122,895,91.07,8.93
SUI_USDT:USDT_1m,30m,5194,4840,354,93.18,6.82
SUI_USDT:USDT_1m,1h,2968,2763,205,93.09,6.91
SUI_USDT:USDT_1m,2h,1855,1698,157,91.54,8.46
SUI_USDT:USDT_1m,4h,1113,987,126,88.68,11.32
SUSHI_USDT:USDT_1m,1m,144967,64057,80910,44.19,55.81
SUSHI_USDT:USDT_1m,3m,48570,32853,15717,67.64,32.36
SUSHI_USDT:USDT_1m,5m,29291,21994,7297,75.09,24.91
SUSHI_USDT:USDT_1m,15m,10011,8468,1543,84.59,15.41
SUSHI_USDT:USDT_1m,30m,5191,4513,678,86.94,13.06
SUSHI_USDT:USDT_1m,1h,2966,2591,375,87.36,12.64
SUSHI_USDT:USDT_1m,2h,1854,1568,286,84.57,15.43
SUSHI_USDT:USDT_1m,4h,1113,893,220,80.23,19.77
TIA_USDT:USDT_1m,1m,144846,91185,53661,62.95,37.05
TIA_USDT:USDT_1m,3m,48530,38509,10021,79.35,20.65
TIA_USDT:USDT_1m,5m,29266,24695,4571,84.38,15.62
TIA_USDT:USDT_1m,15m,10003,9021,982,90.18,9.82
